Arrival Date,F_Governorate_En,F_District_En,F_Sub-District_En,F_Community_En,T_Governorate_En,T_District_En,T_Sub-District_En,T_Community_En,T_Camp_En,New Arrivals (Ind),New Arrivals (HH),Most common shelter type for new arrivals,Most common tenancy arrangement for new arrivals,1st priority need of IDPs arriving during the coverage period,2nd priority need of IDPs arriving during the coverage period,3rd priority need of IDPs arriving during the coverage period,F_Governorate_PCODE,F_District_PCODE,F_Sub-District_PCODE,F_Community_PCODE,T_Governorate_PCODE,T_District_PCODE,T_Sub-District_PCODE,T_Community_PCODE,T_Camp_PCODE
1-31 December,Aleppo,Afrin,Jandairis,,Aleppo,Al Bab,Al Bab,Sosyan,,19,4,Solid_finished_houses_apartments,,NFI,Health,Winterization,SY02,SY0203,SY020302,,SY02,SY0202,SY020200,C1187,
1-31 December,Aleppo,A'zaz,A'zaz,,Aleppo,Al Bab,Al Bab,Sosyan,,17,4,Solid_finished_houses_apartments,,NFI,Winterization,Education,SY02,SY0204,SY020400,,SY02,SY0202,SY020200,C1187,
1-31 December,Aleppo,Jarablus,Jarablus,,Aleppo,Al Bab,Al Bab,Sosyan,,13,3,Solid_finished_houses_apartments,,NFI,Winterization,Education,SY02,SY0208,SY020800,,SY02,SY0202,SY020200,C1187,
1-31 December,Idleb,Ariha,Ariha,,Aleppo,Al Bab,Al Bab,Sosyan,,14,3,Solid_finished_houses_apartments,,NFI,Health,Winterization,SY07,SY0705,SY070500,,SY02,SY0202,SY020200,C1187,
1-31 December,Aleppo,Afrin,Jandairis,,Aleppo,Al Bab,Al Bab,Bazagha,,19,4,Solid_finished_houses_apartments,,Winterization,NFI,Cash,SY02,SY0203,SY020302,,SY02,SY0202,SY020200,C1188,
1-31 December,Aleppo,Jarablus,Jarablus,,Aleppo,Al Bab,Al Bab,Bazagha,,25,5,Solid_finished_houses_apartments,,Winterization,Cash,Food,SY02,SY0208,SY020800,,SY02,SY0202,SY020200,C1188,
1-31 December,Aleppo,Jarablus,Ghandorah,,Aleppo,Al Bab,Al Bab,Bazagha,,15,3,Solid_finished_houses_apartments,,Winterization,Cash,Food,SY02,SY0208,SY020801,,SY02,SY0202,SY020200,C1188,
1-31 December,Aleppo,Jarablus,Ghandorah,,Aleppo,Al Bab,Al Bab,Bazagha,,14,3,Solid_finished_houses_apartments,,Winterization,NFI,Cash,SY02,SY0208,SY020801,,SY02,SY0202,SY020200,C1188,
1-31 December,Idleb,Idleb,Idleb,,Aleppo,Al Bab,Al Bab,Bazagha,,15,3,Solid_finished_houses_apartments,,Winterization,Cash,Food,SY07,SY0700,SY070000,,SY02,SY0202,SY020200,C1188,
1-31 December,Idleb,Idleb,Idleb,,Aleppo,Al Bab,Al Bab,Bazagha,,14,3,Solid_finished_houses_apartments,,Winterization,NFI,Cash,SY07,SY0700,SY070000,,SY02,SY0202,SY020200,C1188,
1-31 December,Aleppo,Al Bab,Al Bab,,Aleppo,Al Bab,Al Bab,Su Sinbat,,5,1,Solid_finished_houses_apartments,,Health,Winterization,Education,SY02,SY0202,SY020200,,SY02,SY0202,SY020200,C1190,
1-31 December,Aleppo,Afrin,Afrin,,Aleppo,Al Bab,Al Bab,Su Sinbat,,14,3,Solid_finished_houses_apartments,,Health,Winterization,Education,SY02,SY0203,SY020300,,SY02,SY0202,SY020200,C1190,
1-31 December,Aleppo,Al Bab,Al Bab,,Aleppo,Al Bab,Al Bab,Hazwan,,12,3,Solid_finished_houses_apartments,,NFI,Health,Cash,SY02,SY0202,SY020200,,SY02,SY0202,SY020200,C1191,
1-31 December,Aleppo,Afrin,Afrin,,Aleppo,Al Bab,Al Bab,Hazwan,,10,2,Solid_finished_houses_apartments,,NFI,Health,Winterization,SY02,SY0203,SY020300,,SY02,SY0202,SY020200,C1191,
1-31 December,Aleppo,Jarablus,Jarablus,,Aleppo,Al Bab,Al Bab,Hazwan,,12,3,Solid_finished_houses_apartments,,NFI,Health,Cash,SY02,SY0208,SY020800,,SY02,SY0202,SY020200,C1191,
1-31 December,Idleb,Idleb,Idleb,,Aleppo,Al Bab,Al Bab,Hazwan,,14,3,Solid_finished_houses_apartments,,NFI,Health,Winterization,SY07,SY0700,SY070000,,SY02,SY0202,SY020200,C1191,
1-31 December,Aleppo,Al Bab,Al Bab,,Aleppo,Al Bab,Al Bab,Borj (Al Bab),,13,3,Self_settled_Camp,,Food,NFI,Winterization,SY02,SY0202,SY020200,,SY02,SY0202,SY020200,C1192,
1-31 December,Aleppo,Al Bab,Al Bab,,Aleppo,Al Bab,Al Bab,Borj (Al Bab),,14,3,Self_settled_Camp,,Health,Winterization,Education,SY02,SY0202,SY020200,,SY02,SY0202,SY020200,C1192,
1-31 December,Aleppo,Afrin,Afrin,,Aleppo,Al Bab,Al Bab,Borj (Al Bab),,9,2,Self_settled_Camp,,Health,Winterization,Education,SY02,SY0203,SY020300,,SY02,SY0202,SY020200,C1192,
1-31 December,Aleppo,A'zaz,A'zaz,,Aleppo,Al Bab,Al Bab,Borj (Al Bab),,18,4,Self_settled_Camp,,Food,NFI,Winterization,SY02,SY0204,SY020400,,SY02,SY0202,SY020200,C1192,
1-31 December,Aleppo,Al Bab,Al Bab,,Aleppo,Al Bab,Al Bab,Sheikh Jarrah,,8,2,Self_settled_Camp,,Food,Education,Cash,SY02,SY0202,SY020200,,SY02,SY0202,SY020200,C1195,
1-31 December,Aleppo,Afrin,Afrin,,Aleppo,Al Bab,Al Bab,Sheikh Elwan,,15,3,Solid_finished_houses_apartments,,Winterization,Education,Health,SY02,SY0203,SY020300,,SY02,SY0202,SY020200,C1196,
1-31 December,Aleppo,Al Bab,Al Bab,,Aleppo,Al Bab,Al Bab,Hadath (Al Bab),,10,2,Solid_finished_houses_apartments,,Food,Cash,Education,SY02,SY0202,SY020200,,SY02,SY0202,SY020200,C1198,
1-31 December,Aleppo,Jarablus,Jarablus,,Aleppo,Al Bab,Al Bab,Tal Jerji,,12,3,Self_settled_Camp,,Health,Winterization,Education,SY02,SY0208,SY020800,,SY02,SY0202,SY020200,C1199,
1-31 December,Aleppo,A'zaz,A'zaz,,Aleppo,Al Bab,Al Bab,Saflaniyeh,,11,2,Solid_finished_houses_apartments,,Health,Education,Winterization,SY02,SY0204,SY020400,,SY02,SY0202,SY020200,C1200,
1-31 December,Aleppo,Afrin,Jandairis,,Aleppo,Al Bab,Al Bab,Al Bab,,19,4,Solid_finished_houses_apartments,,Winterization,NFI,Education,SY02,SY0203,SY020302,,SY02,SY0202,SY020200,C1202,
1-31 December,Aleppo,A'zaz,A'zaz,,Aleppo,Al Bab,Al Bab,Al Bab,,20,4,Solid_finished_houses_apartments,,NFI,Winterization,Food,SY02,SY0204,SY020400,,SY02,SY0202,SY020200,C1202,
1-31 December,Aleppo,A'zaz,A'zaz,,Aleppo,Al Bab,Al Bab,Al Bab,,33,7,Solid_finished_houses_apartments,,Winterization,NFI,Education,SY02,SY0204,SY020400,,SY02,SY0202,SY020200,C1202,
1-31 December,Aleppo,Jarablus,Jarablus,,Aleppo,Al Bab,Al Bab,Al Bab,,20,4,Solid_finished_houses_apartments,,NFI,Winterization,Food,SY02,SY0208,SY020800,,SY02,SY0202,SY020200,C1202,
1-31 December,Aleppo,Jarablus,Jarablus,,Aleppo,Al Bab,Al Bab,Al Bab,,19,4,Solid_finished_houses_apartments,,Winterization,NFI,Education,SY02,SY0208,SY020800,,SY02,SY0202,SY020200,C1202,
1-31 December,Idleb,Idleb,Idleb,,Aleppo,Al Bab,Al Bab,Al Bab,,30,6,Solid_finished_houses_apartments,,NFI,Winterization,Food,SY07,SY0700,SY070000,,SY02,SY0202,SY020200,C1202,
1-31 December,Aleppo,Afrin,Jandairis,,Aleppo,Al Bab,Al Bab,Olan,,14,3,Solid_finished_houses_apartments,,NFI,Winterization,Cash,SY02,SY0203,SY020302,,SY02,SY0202,SY020200,C1204,
1-31 December,Aleppo,Jarablus,Jarablus,,Aleppo,Al Bab,Al Bab,Olan,,11,2,Solid_finished_houses_apartments,,NFI,Winterization,Cash,SY02,SY0208,SY020800,,SY02,SY0202,SY020200,C1204,
1-31 December,Aleppo,Al Bab,Al Bab,,Aleppo,Al Bab,Al Bab,Shdud,,12,3,Solid_finished_houses_apartments,,NFI,Food,Winterization,SY02,SY0202,SY020200,,SY02,SY0202,SY020200,C1206,
1-31 December,Aleppo,Al Bab,Al Bab,,Aleppo,Al Bab,Al Bab,Qabasin,,14,3,Solid_finished_houses_apartments,,Cash,Winterization,Food,SY02,SY0202,SY020200,,SY02,SY0202,SY020200,C1209,
1-31 December,Aleppo,Afrin,Afrin,,Aleppo,Al Bab,Al Bab,Qabasin,,15,3,Solid_finished_houses_apartments,,Winterization,Health,Education,SY02,SY0203,SY020300,,SY02,SY0202,SY020200,C1209,
1-31 December,Aleppo,Afrin,Jandairis,,Aleppo,Al Bab,Al Bab,Qabasin,,14,3,Solid_finished_houses_apartments,,Cash,Winterization,Food,SY02,SY0203,SY020302,,SY02,SY0202,SY020200,C1209,
1-31 December,Aleppo,A'zaz,A'zaz,,Aleppo,Al Bab,Al Bab,Qabasin,,15,3,Solid_finished_houses_apartments,,Winterization,Health,Education,SY02,SY0204,SY020400,,SY02,SY0202,SY020200,C1209,
1-31 December,Aleppo,Jarablus,Ghandorah,,Aleppo,Al Bab,Al Bab,Qabasin,,18,4,Solid_finished_houses_apartments,,Cash,Winterization,Food,SY02,SY0208,SY020801,,SY02,SY0202,SY020200,C1209,
1-31 December,Idleb,Idleb,Idleb,,Aleppo,Al Bab,Al Bab,Qabasin,,20,4,Solid_finished_houses_apartments,,Winterization,Health,Education,SY07,SY0700,SY070000,,SY02,SY0202,SY020200,C1209,
1-31 December,Aleppo,Al Bab,Al Bab,,Aleppo,Al Bab,Al Bab,Qdeiran,,9,2,Solid_finished_houses_apartments,,Education,Cash,NFI,SY02,SY0202,SY020200,,SY02,SY0202,SY020200,C1211,
1-31 December,Aleppo,Afrin,Afrin,,Aleppo,Al Bab,Al Bab,Waqqah,,13,3,Solid_finished_houses_apartments,,Health,Cash,Winterization,SY02,SY0203,SY020300,,SY02,SY0202,SY020200,C1212,
1-31 December,Aleppo,Afrin,Jandairis,,Aleppo,Al Bab,Al Bab,Noman,,14,3,Solid_finished_houses_apartments,,Health,Cash,Winterization,SY02,SY0203,SY020302,,SY02,SY0202,SY020200,C1213,
1-31 December,Aleppo,Afrin,Bulbul,,Aleppo,Al Bab,Ar-Ra'ee,Sandi,,16,4,Solid_finished_houses_apartments,,NFI,Shelter,Winterization,SY02,SY0203,SY020301,,SY02,SY0202,SY020203,C1248,
1-31 December,Aleppo,Al Bab,Al Bab,,Aleppo,Al Bab,Ar-Ra'ee,Ar-Ra'ee,,58,9,Self_settled_Camp,,NFI,Shelter,Winterization,SY02,SY0202,SY020200,,SY02,SY0202,SY020203,C1250,
1-31 December,Aleppo,Al Bab,Al Bab,,Aleppo,Al Bab,Ar-Ra'ee,Ar-Ra'ee,,26,5,Solid_finished_houses_apartments,,Winterization,Safety,NFI,SY02,SY0202,SY020200,,SY02,SY0202,SY020203,C1250,
1-31 December,Aleppo,Menbij,Menbij,,Aleppo,Al Bab,Ar-Ra'ee,Ar-Ra'ee,,97,15,Self_settled_Camp,,NFI,Shelter,Winterization,SY02,SY0205,SY020500,,SY02,SY0202,SY020203,C1250,
1-31 December,Aleppo,Menbij,Menbij,,Aleppo,Al Bab,Ar-Ra'ee,Ar-Ra'ee,,42,8,Solid_finished_houses_apartments,,Winterization,Safety,NFI,SY02,SY0205,SY020500,,SY02,SY0202,SY020203,C1250,
1-31 December,Idleb,Idleb,Maaret Tamsrin,,Aleppo,Al Bab,Ar-Ra'ee,Ar-Ra'ee,,19,3,Self_settled_Camp,,NFI,Shelter,Winterization,SY07,SY0700,SY070005,,SY02,SY0202,SY020203,C1250,
1-31 December,Idleb,Jisr-Ash-Shugur,Darkosh,,Aleppo,Al Bab,Ar-Ra'ee,Ar-Ra'ee,,37,7,Solid_finished_houses_apartments,,Winterization,Safety,NFI,SY07,SY0704,SY070402,,SY02,SY0202,SY020203,C1250,
1-31 December,Aleppo,A'zaz,Suran,,Aleppo,Al Bab,Ar-Ra'ee,Hleisa,,8,2,Solid_finished_houses_apartments,,NFI,Shelter,Winterization,SY02,SY0204,SY020405,,SY02,SY0202,SY020203,C1251,
1-31 December,Aleppo,Menbij,Menbij,,Aleppo,Al Bab,Ar-Ra'ee,Haji Wali,,20,4,Solid_finished_houses_apartments,,Food,Winterization,Education,SY02,SY0205,SY020500,,SY02,SY0202,SY020203,C1252,
1-31 December,Aleppo,A'zaz,Aghtrin,,Aleppo,Al Bab,Ar-Ra'ee,Haji Kusa,,8,3,Solid_finished_houses_apartments,,Food,Winterization,Health,SY02,SY0204,SY020401,,SY02,SY0202,SY020203,C1253,
1-31 December,Aleppo,Menbij,Menbij,,Aleppo,Al Bab,Ar-Ra'ee,Jbine (Ar-Ra'ee),,52,7,Solid_finished_houses_apartments,,NFI,Health,Winterization,SY02,SY0205,SY020500,,SY02,SY0202,SY020203,C1256,
1-31 December,Idleb,Harim,Dana,,Aleppo,Al Bab,Ar-Ra'ee,Tal Mizab,,18,4,Solid_finished_houses_apartments,,Health,NFI,Food,SY07,SY0703,SY070301,,SY02,SY0202,SY020203,C1258,
1-31 December,Aleppo,Al Bab,Al Bab,,Aleppo,Al Bab,Ar-Ra'ee,Ameriyeh (Ar-Ra'ee),,10,3,Unfinished_damaged_houses_apartments,,Health,Shelter,Winterization,SY02,SY0202,SY020200,,SY02,SY0202,SY020203,C1260,
1-31 December,Idleb,Jisr-Ash-Shugur,Darkosh,,Aleppo,Al Bab,Ar-Ra'ee,Silsileh,,10,2,Solid_finished_houses_apartments,,Food,Winterization,Livelihoods,SY07,SY0704,SY070402,,SY02,SY0202,SY020203,C1261,
1-31 December,Idleb,Jisr-Ash-Shugur,Badama,,Aleppo,Al Bab,Ar-Ra'ee,Khalilieyh (Ar-Ra'ee),,21,4,Solid_finished_houses_apartments,,NFI,Winterization,Livelihoods,SY07,SY0704,SY070401,,SY02,SY0202,SY020203,C1262,
1-31 December,Aleppo,Menbij,Menbij,,Aleppo,Al Bab,Ar-Ra'ee,Atharia,,14,3,Solid_finished_houses_apartments,,NFI,Food,Winterization,SY02,SY0205,SY020500,,SY02,SY0202,SY020203,C1264,
1-31 December,Aleppo,Afrin,Raju,,Aleppo,Al Bab,Ar-Ra'ee,Tal Eisheh,,22,4,Self_settled_Camp,,Health,Shelter,Winterization,SY02,SY0203,SY020303,,SY02,SY0202,SY020203,C1267,
1-31 December,Aleppo,A'zaz,A'zaz,,Aleppo,Al Bab,Ar-Ra'ee,Tal Eisheh,,16,3,Solid_finished_houses_apartments,,NFI,Food,Cash,SY02,SY0204,SY020400,,SY02,SY0202,SY020203,C1267,
1-31 December,Aleppo,Menbij,Menbij,,Aleppo,Al Bab,Ar-Ra'ee,Tal Eisheh,,36,7,Solid_finished_houses_apartments,,NFI,Food,Cash,SY02,SY0205,SY020500,,SY02,SY0202,SY020203,C1267,
1-31 December,Idleb,Harim,Dana,,Aleppo,Al Bab,Ar-Ra'ee,Tal Eisheh,,22,4,Self_settled_Camp,,Health,Shelter,Winterization,SY07,SY0703,SY070301,,SY02,SY0202,SY020203,C1267,
1-31 December,Aleppo,Afrin,Ma'btali,,Aleppo,Al Bab,Ar-Ra'ee,Zyaret Elbab,,10,2,Solid_finished_houses_apartments,,Food,Winterization,Livelihoods,SY02,SY0203,SY020306,,SY02,SY0202,SY020203,C1268,
1-31 December,Idleb,Jisr-Ash-Shugur,Badama,,Aleppo,Al Bab,Ar-Ra'ee,Zyaret Elbab,,10,2,Solid_finished_houses_apartments,,Food,Winterization,Livelihoods,SY07,SY0704,SY070401,,SY02,SY0202,SY020203,C1268,
1-31 December,Aleppo,A'zaz,Suran,,Aleppo,Al Bab,Ar-Ra'ee,Tal Elhawa,,28,5,Solid_finished_houses_apartments,,NFI,Shelter,Winterization,SY02,SY0204,SY020405,,SY02,SY0202,SY020203,C1269,
1-31 December,Aleppo,Menbij,Menbij,,Aleppo,Al Bab,Ar-Ra'ee,Ayyasha,,21,4,Solid_finished_houses_apartments,,NFI,Shelter,Winterization,SY02,SY0205,SY020500,,SY02,SY0202,SY020203,C1270,
1-31 December,Idleb,Harim,Dana,,Aleppo,Al Bab,Ar-Ra'ee,Tal Atieh,,10,3,Solid_finished_houses_apartments,,NFI,Winterization,Safety,SY07,SY0703,SY070301,,SY02,SY0202,SY020203,C1271,
1-31 December,Aleppo,Al Bab,Al Bab,,Aleppo,Al Bab,Ar-Ra'ee,Bab Laymun,,53,8,Solid_finished_houses_apartments,,Food,NFI,Safety,SY02,SY0202,SY020200,,SY02,SY0202,SY020203,C1272,
1-31 December,Aleppo,Al Bab,Al Bab,,Aleppo,Al Bab,Ar-Ra'ee,Hadabat,,14,3,Solid_finished_houses_apartments,,Shelter,NFI,Winterization,SY02,SY0202,SY020200,,SY02,SY0202,SY020203,C1273,
1-31 December,Aleppo,Afrin,Afrin,,Aleppo,Al Bab,Ar-Ra'ee,Qantaret Elbab,,29,5,Unfinished_damaged_houses_apartments,,NFI,Education,Winterization,SY02,SY0203,SY020300,,SY02,SY0202,SY020203,C1275,
1-31 December,Aleppo,A'zaz,A'zaz,,Aleppo,Al Bab,A'rima,Jeb Eldam Elbab,,16,3,Solid_finished_houses_apartments,,Shelter,NFI,Cash,SY02,SY0204,SY020400,,SY02,SY0202,SY020206,C1333,
1-31 December,Aleppo,Menbij,Menbij,,Aleppo,Al Bab,A'rima,Jeb Eldam Elbab,,21,4,Solid_finished_houses_apartments,,Shelter,NFI,Cash,SY02,SY0205,SY020500,,SY02,SY0202,SY020206,C1333,
1-31 December,Aleppo,Al Bab,Al Bab,,Aleppo,Al Bab,A'rima,Big Sukariyeh,,10,2,Self_settled_Camp,,Shelter,NFI,Cash,SY02,SY0202,SY020200,,SY02,SY0202,SY020206,C1339,
1-31 December,Aleppo,A'zaz,A'zaz,,Aleppo,Al Bab,A'rima,Big Sukariyeh,,14,3,Solid_finished_houses_apartments,,Shelter,NFI,Cash,SY02,SY0204,SY020400,,SY02,SY0202,SY020206,C1339,
1-31 December,Aleppo,Jarablus,Jarablus,,Aleppo,Al Bab,A'rima,Big Sukariyeh,,15,3,Self_settled_Camp,,Shelter,NFI,Cash,SY02,SY0208,SY020800,,SY02,SY0202,SY020206,C1339,
1-31 December,Aleppo,Al Bab,Ar-Ra'ee,,Aleppo,Al Bab,A'rima,Um Adae Ajami,,15,3,Solid_finished_houses_apartments,,Shelter,NFI,Cash,SY02,SY0202,SY020203,,SY02,SY0202,SY020206,C1342,
1-31 December,Aleppo,Afrin,Jandairis,,Aleppo,Al Bab,A'rima,Tarhin,,15,3,Planned_camp,,Shelter,NFI,Cash,SY02,SY0203,SY020302,,SY02,SY0202,SY020206,C1345,
1-31 December,Aleppo,A'zaz,A'zaz,,Aleppo,Al Bab,A'rima,Tarhin,,44,9,Planned_camp,,Shelter,NFI,Cash,SY02,SY0204,SY020400,,SY02,SY0202,SY020206,C1345,
1-31 December,Aleppo,Jarablus,Jarablus,,Aleppo,Al Bab,A'rima,Tarhin,,15,3,Planned_camp,,Shelter,NFI,Cash,SY02,SY0208,SY020800,,SY02,SY0202,SY020206,C1345,
1-31 December,Aleppo,A'zaz,A'zaz,,Aleppo,Al Bab,A'rima,Barshaya,,19,4,Self_settled_Camp,,Shelter,NFI,Cash,SY02,SY0204,SY020400,,SY02,SY0202,SY020206,C1346,
1-31 December,Aleppo,Jarablus,Jarablus,,Aleppo,Al Bab,A'rima,Bir Tafreeah,,43,9,Solid_finished_houses_apartments,,Shelter,NFI,Cash,SY02,SY0208,SY020800,,SY02,SY0202,SY020206,C1348,
1-31 December,Aleppo,Afrin,Bulbul,,Aleppo,Afrin,Afrin,Bablit,,11,2,Self_settled_Camp,,Shelter,Food,Winterization,SY02,SY0203,SY020301,,SY02,SY0203,SY020300,C1351,
1-31 December,Aleppo,Afrin,Jandairis,,Aleppo,Afrin,Afrin,Bablit,,27,5,Self_settled_Camp,,Shelter,Food,Winterization,SY02,SY0203,SY020302,,SY02,SY0203,SY020300,C1351,
1-31 December,Aleppo,Jebel Saman,Daret Azza,,Aleppo,Afrin,Afrin,Eskan,,44,7,Solid_finished_houses_apartments,,NFI,Winterization,Cash,SY02,SY0200,SY020004,,SY02,SY0203,SY020300,C1352,
1-31 December,Aleppo,A'zaz,A'zaz,,Aleppo,Afrin,Afrin,Eskan,,18,3,Solid_finished_houses_apartments,,NFI,Winterization,Cash,SY02,SY0204,SY020400,,SY02,SY0203,SY020300,C1352,
1-31 December,Aleppo,Jebel Saman,Daret Azza,,Aleppo,Afrin,Afrin,Burj Haydar,,17,3,Solid_finished_houses_apartments,,NFI,Winterization,Cash,SY02,SY0200,SY020004,,SY02,SY0203,SY020300,C1354,
1-31 December,Aleppo,Afrin,Afrin,,Aleppo,Afrin,Afrin,Burj Haydar,,34,6,Solid_finished_houses_apartments,,NFI,Winterization,Cash,SY02,SY0203,SY020300,,SY02,SY0203,SY020300,C1354,
1-31 December,Aleppo,Afrin,Bulbul,,Aleppo,Afrin,Afrin,Burj Haydar,,17,3,Solid_finished_houses_apartments,,NFI,Winterization,Cash,SY02,SY0203,SY020301,,SY02,SY0203,SY020300,C1354,
1-31 December,Aleppo,Afrin,Ma'btali,,Aleppo,Afrin,Afrin,Burj Haydar,,11,2,Solid_finished_houses_apartments,,NFI,Winterization,Cash,SY02,SY0203,SY020306,,SY02,SY0203,SY020300,C1354,
1-31 December,Aleppo,A'zaz,A'zaz,,Aleppo,Afrin,Afrin,Burj Haydar,,17,3,Solid_finished_houses_apartments,,NFI,Winterization,Cash,SY02,SY0204,SY020400,,SY02,SY0203,SY020300,C1354,
1-31 December,Aleppo,Afrin,Jandairis,,Aleppo,Afrin,Afrin,Tellef,,27,5,Collective_centers_such_as_mosques_schools_etc,,Shelter,Food,Winterization,SY02,SY0203,SY020302,,SY02,SY0203,SY020300,C1355,
1-31 December,Aleppo,Afrin,Raju,,Aleppo,Afrin,Afrin,Tellef,,11,2,Collective_centers_such_as_mosques_schools_etc,,Shelter,Food,Winterization,SY02,SY0203,SY020303,,SY02,SY0203,SY020300,C1355,
1-31 December,Aleppo,Jebel Saman,Atareb,,Aleppo,Afrin,Afrin,Sheikh Eldeir,,29,5,Solid_finished_houses_apartments,,NFI,Winterization,Cash,SY02,SY0200,SY020001,,SY02,SY0203,SY020300,C1359,
1-31 December,Aleppo,Al Bab,Al Bab,,Aleppo,Afrin,Afrin,Sheikh Eldeir,,22,4,Solid_finished_houses_apartments,,NFI,Winterization,Cash,SY02,SY0202,SY020200,,SY02,SY0203,SY020300,C1359,
1-31 December,Aleppo,Afrin,Sharan,,Aleppo,Afrin,Afrin,Sheikh Eldeir,,18,3,Solid_finished_houses_apartments,,NFI,Winterization,Cash,SY02,SY0203,SY020304,,SY02,SY0203,SY020300,C1359,
1-31 December,Aleppo,A'zaz,A'zaz,,Aleppo,Afrin,Afrin,Sheikh Eldeir,,17,3,Solid_finished_houses_apartments,,NFI,Winterization,Cash,SY02,SY0204,SY020400,,SY02,SY0203,SY020300,C1359,
1-31 December,Aleppo,Afrin,Jandairis,,Aleppo,Afrin,Afrin,Hawa (Afrin),,16,3,Self_settled_Camp,,Shelter,Food,Winterization,SY02,SY0203,SY020302,,SY02,SY0203,SY020300,C1362,
1-31 December,Idleb,Idleb,Idleb,,Aleppo,Afrin,Afrin,Hawa (Afrin),,28,5,Self_settled_Camp,,Shelter,Food,Winterization,SY07,SY0700,SY070000,,SY02,SY0203,SY020300,C1362,
1-31 December,Aleppo,Al Bab,Al Bab,,Aleppo,Afrin,Afrin,Tharifa,,18,3,Solid_finished_houses_apartments,,NFI,Cash,Winterization,SY02,SY0202,SY020200,,SY02,SY0203,SY020300,C1363,
1-31 December,Aleppo,Al Bab,Al Bab,,Aleppo,Afrin,Afrin,Tharifa,,20,3,Solid_finished_houses_apartments,,NFI,Winterization,Cash,SY02,SY0202,SY020200,,SY02,SY0203,SY020300,C1363,
1-31 December,Aleppo,Afrin,Raju,,Aleppo,Afrin,Afrin,Tharifa,,26,4,Solid_finished_houses_apartments,,NFI,Winterization,Cash,SY02,SY0203,SY020303,,SY02,SY0203,SY020300,C1363,
1-31 December,Aleppo,A'zaz,A'zaz,,Aleppo,Afrin,Afrin,Tharifa,,24,4,Solid_finished_houses_apartments,,NFI,Cash,Winterization,SY02,SY0204,SY020400,,SY02,SY0203,SY020300,C1363,
